Txn Date,Description,Ref No/Cheque No,Debit,Credit,Balance
30-04-2024,TO TRANSFER-UBER RIDES,1234567932,320.00,NIL,148958.00
01-05-2024,BY TRANSFER-SALARY CREDIT MAY 2024,-,NIL,48500.00,197458.00
04-05-2024,TO TRANSFER-SWIGGY ORDER,1234567933,650.00,NIL,196808.00
07-05-2024,TO TRANSFER-RELIANCE SMART STORE,1234567934,1900.00,NIL,194908.00
10-05-2024,TO TRANSFER-IRCTC SUMMER TRAVEL,1234567935,3200.00,NIL,191708.00
12-05-2024,TO TRANSFER-SBI HOME LOAN EMI,1234567936,12000.00,NIL,179708.00
15-05-2024,TO TRANSFER-NETFLIX INDIA,1234567937,649.00,NIL,179059.00
18-05-2024,ATM-CASH WITHDRAWAL,ATM004,6000.00,NIL,173059.00
20-05-2024,TO TRANSFER-ZOMATO ORDER,1234567938,380.00,NIL,172679.00
22-05-2024,TO TRANSFER-RENT MAY 2024,1234567939,15000.00,NIL,157679.00
25-05-2024,TO TRANSFER-SBI MUTUAL FUND SIP,1234567940,3000.00,NIL,154679.00
28-05-2024,TO TRANSFER-JIO RECHARGE,1234567941,299.00,NIL,154380.00
30-05-2024,TO TRANSFER-UBER,1234567942,210.00,NIL,154170.00
01-06-2024,BY TRANSFER-SALARY CREDIT JUN 2024,-,NIL,48500.00,202670.00
03-06-2024,TO TRANSFER-SWIGGY FOOD,1234567943,490.00,NIL,202180.00
06-06-2024,TO TRANSFER-BIG BAZAAR,1234567944,2200.00,NIL,199980.00
10-06-2024,TO TRANSFER-LIC PREMIUM,1234567945,6500.00,NIL,193480.00
12-06-2024,TO TRANSFER-AMAZON SHOPPING,1234567946,1650.00,NIL,191830.00
14-06-2024,TO TRANSFER-SBI HOME LOAN EMI,1234567947,12000.00,NIL,179830.00
18-06-2024,TO TRANSFER-AIRTEL POSTPAID,1234567948,499.00,NIL,179331.00
20-06-2024,TO TRANSFER-RENT JUNE 2024,1234567949,15000.00,NIL,164331.00
22-06-2024,TO TRANSFER-ZERODHA EQUITY,1234567950,7000.00,NIL,157331.00
25-06-2024,TO TRANSFER-ZOMATO ORDER,1234567951,350.00,NIL,156981.00
28-06-2024,TO TRANSFER-MYNTRA SHOPPING,1234567952,1499.00,NIL,155482.00
30-06-2024,BY TRANSFER-INTEREST CREDIT,-,NIL,380.00,155862.00
